Year,Units,Կատեգորիա,Սեռ,Value
2015,"1,000 կենդանածնի հաշվով",0-28 օրական,Total,6.3
2016,"1,000 կենդանածնի հաշվով",0-28 օրական,Total,6.1
2017,"1,000 կենդանածնի հաշվով",0-28 օրական,Ընդամենը,6.2
2018,"1,000 կենդանածնի հաշվով",0-28 օրական,Ընդամենը,5.0
2019,"1,000 կենդանածնի հաշվով",0-28 օրական,Ընդամենը,4.7
2020,"1,000 կենդանածնի հաշվով",0-28 օրական,Ընդամենը,5.6
2021,"1,000 կենդանածնի հաշվով",0-28 օրական,Ընդամենը,4.9
2015,"1,000 կենդանածնի հաշվով",0-28 օրական,տղա,6.5
2016,"1,000 կենդանածնի հաշվով",0-28 օրական,տղա,7.1
2017,"1,000 կենդանածնի հաշվով",0-28 օրական,տղա,6.8
2018,"1,000 կենդանածնի հաշվով",0-28 օրական,տղա,5.2
2019,"1,000 կենդանածնի հաշվով",0-28 օրական,տղա,5.6
2020,"1,000 կենդանածնի հաշվով",0-28 օրական,տղա,6.7
2021,"1,000 կենդանածնի հաշվով",0-28 օրական,տղա,5.5
2015,"1,000 կենդանածնի հաշվով",0-28 օրական,աղջիկ,6.0
2016,"1,000 կենդանածնի հաշվով",0-28 օրական,աղջիկ,5.1
2017,"1,000 կենդանածնի հաշվով",0-28 օրական,աղջիկ,5.6
2018,"1,000 կենդանածնի հաշվով",0-28 օրական,աղջիկ,4.7
2019,"1,000 կենդանածնի հաշվով",0-28 օրական,աղջիկ,3.7
2020,"1,000 կենդանածնի հաշվով",0-28 օրական,աղջիկ,4.5
2021,"1,000 կենդանածնի հաշվով",0-28 օրական,աղջիկ,4.3
